Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
The Orchard - Arlington Heights Campus,Church/Religious,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Campus Exterior Maintenance — The Orchard - Arlington Heights Campus,D,"$3,000",theorchard.church,Multi-site church; one block east of Arlington Heights Road; large campus | Managed by: Unknown,Ready to Send
The Orchard - Barrington Campus,Church/Religious,Barrington,60010,Lake,,,847-852-2200,Campus Exterior Maintenance — The Orchard - Barrington Campus,D,"$3,000",,Multi-site church campus in Barrington area,Phone First
The Orchard - Vernon Hills Campus,Church/Religious,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Campus Exterior Maintenance — The Orchard - Vernon Hills Campus,D,"$3,000",,Multi-site church campus in Vernon Hills area,Ready to Send
Waterfront Community Church,Church/Religious,Waukegan,60085,Lake,,info@cai-illinois.org,(847) 301-7505,Campus Exterior Maintenance — Waterfront Community Church,D,"$3,000",waterfrontcc.com,Large community church in Waukegan area,Ready to Send
Friendship Village of Schaumburg,Other Commercial,Schaumburg,60173,Cook,,,(847) 884-5000,Commercial Exterior Maintenance — Friendship Village of Schaumburg,C,"$5,000",,Senior living community; 350 W Schaumburg Rd; assisted living with activities and socializing; large campus,Phone First
Encore Village of Schaumburg,Other Commercial,Schaumburg,60173,Cook,,,(847) 884-5000,Commercial Exterior Maintenance — Encore Village of Schaumburg,C,"$5,000",,"Continuing Care Retirement Community; independent living, assisted living, memory care, skilled nursing",Phone First
Brookdale Northbrook,Other Commercial,Northbrook,60062,Cook,,northbrook@brookdale.com,(847) 803-7100,Commercial Exterior Maintenance — Brookdale Northbrook,C,"$5,000",,"60-unit assisted living facility; 24/7 staff; housecleaning, meal prep, daily activities",Ready to Send
Vi at The Glen,Other Commercial,Glenview,60025,Cook,,glenview@viliving.com,(847) 904-4710,Commercial Exterior Maintenance — Vi at The Glen,C,"$5,000",,Senior living community; 2401 Indigo Lane; up to 36 residents assisted living; larger campus,Ready to Send
The Moorings of Arlington Heights,Other Commercial,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Commercial Exterior Maintenance — The Moorings of Arlington Heights,C,"$5,000",https://www.mcgillmanagement.com/contact,"Continuing care community; independent living, assisted living, memory care, skilled nursing, rehabilitation; large campus | Managed by: Unknown",Ready to Send
Church Creek Senior Living,Other Commercial,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Commercial Exterior Maintenance — Church Creek Senior Living,C,"$5,000",,1250 W. Central Road; assisted living care,Ready to Send
Brookdale Vernon Hills,Other Commercial,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Commercial Exterior Maintenance — Brookdale Vernon Hills,C,"$5,000",,Up to 99 seniors; quiet neighborhood with beautiful grounds and walking paths,Ready to Send
Springs of Vernon Hills,Other Commercial,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Commercial Exterior Maintenance — Springs of Vernon Hills,C,"$5,000",,Assisted senior living; up to 70 elderly adults,Ready to Send
Sunrise of Gurnee,Other Commercial,Gurnee,60031,Lake,,info@sunriseseniorliving.com,(847) 856-8100,Commercial Exterior Maintenance — Sunrise of Gurnee,C,"$5,000",,Senior care for up to 59 older adults,Ready to Send
Gurnee Meadows,Other Commercial,Gurnee,60031,Lake,,,(847) 263-0030,Commercial Exterior Maintenance — Gurnee Meadows,C,"$5,000",,Memory care and assisted living,Phone First
Public Storage Arlington Heights,Other Commercial,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Commercial Exterior Maintenance — Public Storage Arlington Heights,C,"$5,000",https://www.mcgillmanagement.com/contact,Self storage facility; multiple buildings with large exterior surface area | Managed by: Unknown,Ready to Send
Safeguard Self Storage Arlington Heights,Other Commercial,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Commercial Exterior Maintenance — Safeguard Self Storage Arlington Heights,C,"$5,000",https://www.mcgillmanagement.com/contact,523 West Algonquin Road; self storage facility; large building exteriors | Managed by: Unknown,Ready to Send
Life Storage Arlington Heights,Other Commercial,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Commercial Exterior Maintenance — Life Storage Arlington Heights,C,"$5,000",https://www.mcgillmanagement.com/contact,1414 N Rand Rd; self storage facility with large building exterior | Managed by: Unknown,Ready to Send
CAI Illinois Chapter,Other Commercial,Schaumburg,60173,Cook,Membership,info@cai-illinois.org,(847) 301-7505,Commercial Exterior Maintenance — CAI Illinois Chapter,C,"$5,000",https://www.cai-illinois.org,"JOIN THIS - Business Partner membership gives access to HOA boards and property managers. Events, directory listing, networking. 1821 Walden Office Square, Schaumburg.",Ready to Send
IREM Chicago Chapter #23,Other Commercial,Chicago,60601,Cook,Membership,,630-954-4400,Commercial Exterior Maintenance — IREM Chicago Chapter #23,C,"$5,000",https://www.iremchicago.org,"JOIN THIS - Industry Partner Program for vendors. Directory listing, event sponsorship, networking with property managers. Active since 1953.",Phone First
Harvest Bible Chapel - Rolling Meadows,Church/Religious,Rolling Meadows,60008,Cook,Church Office,info@harvestbible.org,(847) 398-7005,Campus Exterior Maintenance — Harvest Bible Chapel - Rolling Meadows,D,"$3,000",harvestbible.org,"Non-Denominational (Mega-Church). MEGA-CHURCH. Large campus, formerly one of 50 largest churches in US. Multiple buildings, large parking structure.",Ready to Send
The Orchard Evangelical Free Church - Arlington Heights,Church/Religious,Arlington Heights,60004,Cook,Church Office,info@theorchard.church,(847) 392-4840,Campus Exterior Maintenance — The Orchard Evangelical Free Church - Arlington Heights,D,"$3,000",theorchard.church,"Evangelical Free. Large multi-campus church. Main campus with large worship center, offices, classrooms. 6 total campuses.",Ready to Send
The Orchard Evangelical Free Church - Vernon Hills,Church/Religious,Vernon Hills,60061,Lake,Church Office,info@theorchard.church,(224) 864-1200,Campus Exterior Maintenance — The Orchard Evangelical Free Church - Vernon Hills,D,"$3,000",theorchard.church,Evangelical Free. Satellite campus of The Orchard in Vernon Hills.,Ready to Send
Christ Church - Lake Forest,Church/Religious,Lake Forest,60045,Lake,Church Office,jneef@cclf.org,(847) 234-1001,Campus Exterior Maintenance — Christ Church - Lake Forest,D,"$3,000",christchurchil.org,Non-Denominational. Large multi-site church (4 campuses). Lake Forest is main campus with large building and grounds.,Ready to Send
Christ Church - Highland Park,Church/Religious,Highland Park,60035,Lake,Church Office,jneef@cclf.org,(847) 234-1001,Campus Exterior Maintenance — Christ Church - Highland Park,D,"$3,000",christchurchil.org,Non-Denominational. Satellite campus of Christ Church IL.,Ready to Send
Christ Church - Vernon Hills,Church/Religious,Vernon Hills,60061,Lake,Church Office,jneef@cclf.org,(847) 234-1001,Campus Exterior Maintenance — Christ Church - Vernon Hills,D,"$3,000",christchurchil.org,Non-Denominational. Satellite campus of Christ Church IL.,Ready to Send
Christ Church - Grayslake (Crossroads),Church/Religious,Grayslake,60030,Lake,Church Office,jneef@cclf.org,(847) 234-1001,Campus Exterior Maintenance — Christ Church - Grayslake (Crossroads),D,"$3,000",christchurchil.org,Non-Denominational. Satellite campus of Christ Church IL.,Ready to Send
The Chapel - Libertyville,Church/Religious,Libertyville,60048,Lake,Church Office,libertyville@chapel.org,(847) 201-2777,Campus Exterior Maintenance — The Chapel - Libertyville,D,"$3,000",chapel.org,"Non-Denominational. Large multi-site church (9 campuses). ~1,400 weekly attendance at this campus. Large facility.",Ready to Send
The Chapel - Grayslake,Church/Religious,Grayslake,60030,Lake,Church Office,grayslake@chapel.org,(847) 201-2777,Campus Exterior Maintenance — The Chapel - Grayslake,D,"$3,000",chapel.org,Non-Denominational. Satellite campus of The Chapel.,Ready to Send
The Chapel - Mundelein,Church/Religious,Mundelein,60060,Lake,Church Office,,(847) 201-2777,Campus Exterior Maintenance — The Chapel - Mundelein,D,"$3,000",chapel.org,Non-Denominational. Satellite campus of The Chapel.,Phone First
The Chapel - Lake Zurich,Church/Religious,Lake Zurich,60047,Lake,Church Office,,(847) 201-2777,Campus Exterior Maintenance — The Chapel - Lake Zurich,D,"$3,000",chapel.org,Non-Denominational. Satellite campus of The Chapel.,Phone First
The Chapel - Palatine,Church/Religious,Palatine,60067,Cook,Church Office,,(847) 201-2777,Campus Exterior Maintenance — The Chapel - Palatine,D,"$3,000",chapel.org,Non-Denominational. Satellite campus of The Chapel.,Phone First
Village Church of Barrington,Church/Religious,Barrington,60010,Lake,Church Office,info@vcbweb.org,(847) 381-5221,Campus Exterior Maintenance — Village Church of Barrington,D,"$3,000",vcbweb.org,Non-Denominational. Large church facility on Main St in Barrington.,Ready to Send
Village Church of Gurnee,Church/Religious,Gurnee,60031,Lake,Church Office,village.church@vcgurnee.org,(847) 244-6606,Campus Exterior Maintenance — Village Church of Gurnee,D,"$3,000",vcgurnee.org,Non-Denominational (Missionary Church). Large established church with multiple ministries. Sizeable building.,Ready to Send
Calvary Community Church,Church/Religious,Schaumburg,60173,Cook,Church Office,,(847) 895-7686,Campus Exterior Maintenance — Calvary Community Church,D,"$3,000",calvaryschaumburg.org,Baptist (Converge). Large church campus in Schaumburg. Draws worshippers from 17+ miles away.,Phone First
St. James Parish,Church/Religious,Arlington Heights,60004,Cook,Church Office,parishoffice@stjamesah.org,(224) 345-7200,Campus Exterior Maintenance — St. James Parish,D,"$3,000",stjamesah.org,Catholic. LARGE CATHOLIC PARISH with school (PK-8). Church + school + rectory + parish offices. Multiple buildings.,Ready to Send
Our Lady of the Wayside,Church/Religious,Arlington Heights,60004,Cook,Church Office,communications@olwparish.org,(847) 253-5353,Campus Exterior Maintenance — Our Lady of the Wayside,D,"$3,000",olwparish.org,"Catholic. LARGE CATHOLIC PARISH. ~3,000 households. Blue Ribbon school (PK-8). Church + school + rectory + parish hall. Multiple buildings.",Ready to Send
St. Edna Catholic Church,Church/Religious,Arlington Heights,60004,Cook,Church Office,fmccauley@stedna.org,(847) 398-3362,Campus Exterior Maintenance — St. Edna Catholic Church,D,"$3,000",stedna.org,Catholic. Large Catholic parish with extensive facilities. Large church building and parish center.,Ready to Send
St. Theresa Catholic Church,Church/Religious,Palatine,60067,Cook,Church Office,frtim@sttheresachurch.org,(847) 358-7760,Campus Exterior Maintenance — St. Theresa Catholic Church,D,"$3,000",sttheresachurch.org,"Catholic. Large Catholic parish with school (PK-8). Church + school + rectory. Multiple buildings, established 1954.",Ready to Send
Holy Family Catholic Community,Church/Religious,Inverness,60067,Cook,Church Office,,(847) 359-0042,Campus Exterior Maintenance — Holy Family Catholic Community,D,"$3,000",holyfamilyparish.org,"Catholic. LARGE CATHOLIC CAMPUS. Church + Holy Family Catholic Academy (IB World School, PK-8) + parish center. Multiple buildings on large property.",Phone First
St. Hubert Catholic Church (Holy Archangels Parish),Church/Religious,Hoffman Estates,60169,Cook,Church Office,office@sainthubert.org,(847) 885-7700,Campus Exterior Maintenance — St. Hubert Catholic Church (Holy Archangels Parish),D,"$3,000",sthubert.org,Catholic. Large Catholic parish with school (PK-8). Church + school building + parish center. Part of Holy Archangels Parish.,Ready to Send
Church of the Holy Spirit,Church/Religious,Schaumburg,60173,Cook,Church Office,chsschaumburg@gmail.com,(847) 882-7580,Campus Exterior Maintenance — Church of the Holy Spirit,D,"$3,000",churchoftheholyspirit.org,Catholic. Catholic parish with religious education center. Established 1984. Multiple buildings.,Ready to Send
St. Emily Parish,Church/Religious,Mount Prospect,60056,Cook,Church Office,djacob@stemily.org,(847) 824-5049,Campus Exterior Maintenance — St. Emily Parish,D,"$3,000",stemily.org,Catholic. LARGE CATHOLIC PARISH with National Blue Ribbon school (PK-8). Church + school + parish offices. Multiple buildings.,Ready to Send
St. Alphonsus Liguori Church,Church/Religious,Prospect Heights,60070,Cook,Church Office,rectory@saintalphonsus.com,(847) 255-7452,Campus Exterior Maintenance — St. Alphonsus Liguori Church,D,"$3,000",saintalphonsusph.org,Catholic. Catholic parish with school (K-8). Church + school + rectory. Multiple buildings.,Ready to Send
St. Paul of the Cross,Church/Religious,Park Ridge,60068,Cook,Church Office,madeleinemccoy@spc-church.org,(847) 825-7605,Campus Exterior Maintenance — St. Paul of the Cross,D,"$3,000",spc-church.org,"Catholic. VERY LARGE CATHOLIC PARISH. 5,000 families. 750+ students in school. Campus: church, lower chapel, adoration chapel, TWO school buildings, parish center, rectory, food pantry. 7+ buildings.",Ready to Send
Mary Seat of Wisdom,Church/Religious,Park Ridge,60068,Cook,Church Office,dho@mswparish.org,(847) 825-3153,Campus Exterior Maintenance — Mary Seat of Wisdom,D,"$3,000",mswparish.org,Catholic. Large Catholic parish with school. Church + school (at 1352 S Cumberland Ave) + parish buildings. Multiple buildings.,Ready to Send
Our Lady of Ransom,Church/Religious,Niles,60714,Cook,Church Office,,(847) 823-2550,Campus Exterior Maintenance — Our Lady of Ransom,D,"$3,000",olransom.org,Catholic. Catholic parish with school (PK-8). Church + school + parish buildings. Multiple buildings on campus.,Phone First
All Saints Parish (St. Isaac Jogues),Church/Religious,Niles,60714,Cook,Church Office,office@parishofallsaints.org,(847) 967-1060,Campus Exterior Maintenance — All Saints Parish (St. Isaac Jogues),D,"$3,000",parishofallsaints.org,Catholic. Merged parish with two worship sites. Multiple buildings across campus.,Ready to Send
St. John Brebeuf,Church/Religious,Niles,60714,Cook,Church Office,,(847) 966-8145,Campus Exterior Maintenance — St. John Brebeuf,D,"$3,000",sjbrebeuf.org,Catholic. Catholic parish with school (PK-8). Church + school + parish ministry center. Multiple buildings. Founded 1953.,Phone First
Ss. Peter and Lambert Parish,Church/Religious,Skokie,60077,Cook,Church Office,parish@stpeter-skokie.org,(847) 673-1492,Campus Exterior Maintenance — Ss. Peter and Lambert Parish,D,"$3,000",sspeterandlambert.org,Catholic. Merged parish with TWO church buildings (St. Peter + St. Lambert at 8148 N Karlov Ave). School. Multiple buildings across two campuses.,Ready to Send
St. John Henry Newman Parish (St. Athanasius),Church/Religious,Evanston,60201,Cook,Church Office,jsalako@newmanparish.com,(847) 328-1430,Campus Exterior Maintenance — St. John Henry Newman Parish (St. Athanasius),D,"$3,000",newmanparish.com,Catholic. Catholic parish in Evanston with school. Church + school + parish buildings.,Ready to Send
Saints Faith Hope & Charity,Church/Religious,Winnetka,60093,Cook,Church Office,parishoffice@faithhope.org,(847) 446-7646,Campus Exterior Maintenance — Saints Faith Hope & Charity,D,"$3,000",faithhope.org,Catholic. Large Catholic parish with school. Church + school (faithhopeschool.org) + rectory + parish hall. Multiple buildings on North Shore.,Ready to Send
Divine Mercy Parish,Church/Religious,Winnetka,60093,Cook,Church Office,jpyke@divinemercynorthshore.org,(847) 446-8056,Campus Exterior Maintenance — Divine Mercy Parish,D,"$3,000",divinemercynorthshore.org,Catholic. Merged parish with TWO worship sites (Sacred Heart in Winnetka + St. Philip in Northfield at 1962 Old Willow Rd). K-8 school. Multiple buildings across two locations.,Ready to Send
Saints Joseph & Francis Xavier (JFX),Church/Religious,Wilmette,60091,Cook,Church Office,,(847) 256-4250,Campus Exterior Maintenance — Saints Joseph & Francis Xavier (JFX),D,"$3,000",ssjfx.org,Catholic. LARGE merged Catholic parish with dual-campus school. St. Joseph Campus (preschool) + St. Francis Xavier Campus (K-8). Blue Ribbon school. Multiple buildings at two Wilmette locations.,Phone First
St. Norbert and Our Lady of the Brook,Church/Religious,Northbrook,60062,Cook,Church Office,ann@northbrookcatholic.church,(847) 272-7090,Campus Exterior Maintenance — St. Norbert and Our Lady of the Brook,D,"$3,000",northbrookcatholic.church,Catholic. Catholic parish with school (St. Norbert School). Church + school + parish buildings.,Ready to Send
Our Lady of Perpetual Help,Church/Religious,Glenview,60025,Cook,Church Office,,(847) 729-1525,Campus Exterior Maintenance — Our Lady of Perpetual Help,D,"$3,000",olphglenview.org,Catholic. VERY LARGE CATHOLIC PARISH. Largest Catholic elementary school in Chicago Archdiocese (school at 1123 Church St). Church + large school building + parish center. Multiple buildings.,Phone First
St. Catherine Laboure,Church/Religious,Glenview,60025,Cook,Church Office,,(847) 729-1414,Campus Exterior Maintenance — St. Catherine Laboure,D,"$3,000",stcatherinelaboure.com,Catholic. Catholic parish with school (at 3425 Thornwood Ave). Church + school + parish buildings. 50+ years serving Glenview.,Phone First
Holy Cross Catholic Church,Church/Religious,Deerfield,60015,Lake,Church Office,HCPweb@holycrossparish.net,(847) 945-0430,Campus Exterior Maintenance — Holy Cross Catholic Church,D,"$3,000",holycrossparish.net,Catholic. Catholic parish with school. Church + school + parish buildings in Deerfield.,Ready to Send
St. Joseph Catholic Church,Church/Religious,Libertyville,60048,Lake,Church Office,office@stjoseph-libertyville.org,(847) 362-2073,Campus Exterior Maintenance — St. Joseph Catholic Church,D,"$3,000",stjoseph-libertyville.org,"Catholic. VERY LARGE CATHOLIC PARISH. 3,000+ families. Large campus with church + school + rectory + parish center. Multiple buildings.",Ready to Send
St. Mary of the Annunciation,Church/Religious,Mundelein,60060,Lake,Church Office,parish@stmota.org,(847) 223-0010,Campus Exterior Maintenance — St. Mary of the Annunciation,D,"$3,000",stmaryfc.org,"Catholic. Large Catholic parish. 1,600+ families, 60+ ministries. Large church building + parish facilities on rural campus.",Ready to Send
St. Patrick Catholic Church,Church/Religious,Lake Forest,60045,Lake,Church Office,office@stpatrick-lakeforest.org,(847) 234-1401,Campus Exterior Maintenance — St. Patrick Catholic Church,D,"$3,000",stpatrick-lakeforest.org,Catholic. Historic Catholic parish (founded 1849). Main Church + Old Church + parish buildings. One of oldest in Archdiocese.,Ready to Send
Christ Our Hope (Immaculate Conception),Church/Religious,Highland Park,60035,Lake,Church Office,,(847) 433-0130,Campus Exterior Maintenance — Christ Our Hope (Immaculate Conception),D,"$3,000",cohparish.org,Catholic. Catholic parish in Highland Park. Church + parish buildings.,Phone First
Most Blessed Trinity Parish,Church/Religious,Waukegan,60085,Lake,Church Office,blessedtrinity@archchicago.org,(847) 623-2655,Campus Exterior Maintenance — Most Blessed Trinity Parish,D,"$3,000",mbtparish.org,"Catholic. VERY LARGE merged parish. THREE church buildings: Holy Family (450 Keller Ave), Immaculate Conception (508 Grand Ave, Waukegan), Queen of Peace (910 14th St, N Chicago). Plus academy (510 Gr",Ready to Send
St. Paul the Apostle,Church/Religious,Gurnee,60031,Lake,Church Office,info@spa.church,(847) 918-0600,Campus Exterior Maintenance — St. Paul the Apostle,D,"$3,000",saintpaultheapostle.church,Catholic. Large Catholic parish in Gurnee. Church + parish center.,Ready to Send
St. Francis de Sales,Church/Religious,Lake Zurich,60047,Lake,Church Office,parishoffice@stfrancislz.org,(847) 438-6622,Campus Exterior Maintenance — St. Francis de Sales,D,"$3,000",stfrancislzparish.org,Catholic. Large Catholic parish with school. Church + Ministry Center (135 S Buesching) + school (11 S Buesching). Multiple buildings.,Ready to Send
St. Mary Parish,Church/Religious,Buffalo Grove,60089,Cook,Church Office,parish@stmarybg.org,(847) 541-1450,Campus Exterior Maintenance — St. Mary Parish,D,"$3,000",stmarybg.org,Catholic. Catholic parish with school (at 50 N Buffalo Grove Rd). Church + school + parish buildings.,Ready to Send
St. Joseph the Worker,Church/Religious,Wheeling,60090,Cook,Church Office,frmarcin@stjosephworker.com,(847) 537-2740,Campus Exterior Maintenance — St. Joseph the Worker,D,"$3,000",stjosephworker.com,Catholic. Catholic parish with school. Trilingual parish (English/Polish/Spanish). Church + school + parish buildings.,Ready to Send
St. Zachary Parish,Church/Religious,Des Plaines,60016,Cook,Church Office,parishoffice@saintzachary.org,(847) 956-7020,Campus Exterior Maintenance — St. Zachary Parish,D,"$3,000",saintzachary.org,Catholic. Catholic parish. Large church building + parish center + former school building. Multiple buildings on campus.,Ready to Send
Our Lady of the Blessed Sacrament,Church/Religious,Elk Grove Village,60007,Cook,Church Office,info@OLBSEGV.org,(847) 979-0901,Campus Exterior Maintenance — Our Lady of the Blessed Sacrament,D,"$3,000",olbsegv.org,"Catholic. Merged parish with TWO church buildings: Queen of the Rosary + St. Julian Eymard (601 Biesterfield Rd). Blue Ribbon school (PK-8, at 690 Elk Grove Blvd). 3+ buildings.",Ready to Send
St. Clare of Assisi (merged St. Colette),Church/Religious,Rolling Meadows,60008,Cook,Church Office,stclareofassisi@archchicago.org,(847) 437-6208,Campus Exterior Maintenance — St. Clare of Assisi (merged St. Colette),D,"$3,000",stclareofassisi.com,Catholic. Merged Catholic parish. Church + parish facilities.,Ready to Send
University of St. Mary of the Lake / Mundelein Seminary,Church/Religious,Mundelein,60060,Lake,Church Office,mundeleinseminary@usml.edu,(847) 566-6401,Campus Exterior Maintenance — University of St. Mary of the Lake / Mundelein Seminary,D,"$3,000",usml.edu,"Catholic Seminary. MASSIVE CAMPUS. Largest Catholic seminary in US. 200+ seminarians. Dozens of historic buildings, chapel, library, dormitories, offices on sprawling lakeside campus. HUGE power washi",Ready to Send
First Presbyterian Church of Lake Forest,Church/Religious,Lake Forest,60045,Lake,Church Office,info@firstchurchlf.org,(847) 234-6250,Campus Exterior Maintenance — First Presbyterian Church of Lake Forest,D,"$3,000",firstchurchlf.org,Presbyterian (PCUSA). Historic large church (founded 1859). Large stone building + preschool + education wing. Prominent Lake Forest landmark.,Ready to Send
Winnetka Presbyterian Church,Church/Religious,Winnetka,60093,Cook,Church Office,office@winnpres.org,(847) 446-7777,Campus Exterior Maintenance — Winnetka Presbyterian Church,D,"$3,000",winnpres.org,Presbyterian (PCUSA). Large Presbyterian church on North Shore. Established 1956. Large building.,Ready to Send
Winnetka Congregational Church,Church/Religious,Winnetka,60093,Cook,Church Office,wcc@winnetkacongregationalchurch.org,(847) 441-3400,Campus Exterior Maintenance — Winnetka Congregational Church,D,"$3,000",winnetkacongregationalchurch.org,United Church of Christ. Historic large church (since 1874). Prominent stone building on North Shore.,Ready to Send
Kenilworth Union Church,Church/Religious,Kenilworth,60043,Cook,Church Office,info@kuc.org,(847) 251-4272,Campus Exterior Maintenance — Kenilworth Union Church,D,"$3,000",kuc.org,Non-Denominational (Historic). Oldest non-denominational church in the US. Historic large stone building + additions. Recently approved major building addition. Prestigious North Shore location.,Ready to Send
Trinity United Methodist Church,Church/Religious,Wilmette,60091,Cook,Church Office,trinityinfo@trinitywilmette.org,(847) 251-7333,Campus Exterior Maintenance — Trinity United Methodist Church,D,"$3,000",trinitywilmette.com,United Methodist. Large Methodist church with nursery school. Prominent building on Lake Ave in Wilmette.,Ready to Send
Glenview United Methodist Church,Church/Religious,Glenview,60025,Cook,Church Office,,(847) 729-1015,Campus Exterior Maintenance — Glenview United Methodist Church,D,"$3,000",glenviewumc.org,United Methodist. Methodist church with large building in Glenview.,Phone First
Kingswood United Methodist Church,Church/Religious,Buffalo Grove,60089,Cook,Church Office,,(847) 398-0770,Campus Exterior Maintenance — Kingswood United Methodist Church,D,"$3,000",kingswoodumc.com,United Methodist. Methodist church with multiple campus programs. Building on Dundee Rd.,Phone First
Gloria Dei Lutheran Church,Church/Religious,Northbrook,60062,Cook,Church Office,,(847) 272-0400,Campus Exterior Maintenance — Gloria Dei Lutheran Church,D,"$3,000",gloriadeinorthbrook.org,Lutheran (ELCA). ELCA Lutheran church. Established 1956. Church building in Northbrook.,Phone First
Immanuel Lutheran Church,Church/Religious,Des Plaines,60016,Cook,Church Office,immanueldp@immanueldp.org,(847) 824-3652,Campus Exterior Maintenance — Immanuel Lutheran Church,D,"$3,000",immanueldp.org,Lutheran (LCMS). Lutheran church with community outreach programs including cafe and food bank.,Ready to Send
North Shore Congregation Israel,Church/Religious,Glencoe,60022,Cook,Church Office,toddb@nsci.org,(847) 835-0724,Campus Exterior Maintenance — North Shore Congregation Israel,D,"$3,000",nsci.org,Reform Jewish. LARGE REFORM SYNAGOGUE. Landmark Minoru Yamasaki-designed building on lakefront. Major architectural landmark. Large campus.,Ready to Send
North Suburban Synagogue Beth El,Church/Religious,Highland Park,60035,Lake,Church Office,office@nssbethel.org,(847) 432-8900,Campus Exterior Maintenance — North Suburban Synagogue Beth El,D,"$3,000",nssbethel.org,Conservative Jewish. LARGE CONSERVATIVE SYNAGOGUE. 6.5-acre campus overlooking Lake Michigan. Large building complex.,Ready to Send
Makom Solel Lakeside,Church/Religious,Highland Park,60035,Lake,Church Office,office@mymakom.org,(847) 433-3555,Campus Exterior Maintenance — Makom Solel Lakeside,D,"$3,000",mymakom.org,Reform Jewish. Large Reform synagogue. 5.5-acre campus. Merged congregation with building addition (2010). Large facility.,Ready to Send
Temple Jeremiah,Church/Religious,Northfield,60093,Cook,Church Office,office@templejeremiah.org,(847) 441-5760,Campus Exterior Maintenance — Temple Jeremiah,D,"$3,000",templejeremiah.org,Reform Jewish. Large Reform synagogue. Church + school building. Prominent North Shore congregation.,Ready to Send
Temple Beth Israel,Church/Religious,Skokie,60077,Cook,Church Office,info@TBISkokie.org,(847) 675-0951,Campus Exterior Maintenance — Temple Beth Israel,D,"$3,000",tbiskokie.org,Reform Jewish. Reform synagogue. Large building on Dempster St in Skokie.,Ready to Send
Congregation B'nai Jehoshua Beth Elohim (BJBE),Church/Religious,Deerfield,60015,Lake,Church Office,bjbe@bjbe.org,(847) 940-7575,Campus Exterior Maintenance — Congregation B'nai Jehoshua Beth Elohim (BJBE),D,"$3,000",bjbe.org,"Reform Jewish. VERY LARGE REFORM SYNAGOGUE. 850 member families. Four worship spaces (capacity up to 1,200). Large modern campus.",Ready to Send
Congregation Beth Shalom,Church/Religious,Northbrook,60062,Cook,Church Office,cbsnb3433@aol.com,(847) 498-4100,Campus Exterior Maintenance — Congregation Beth Shalom,D,"$3,000",bethshalomnb.org,Conservative Jewish. LARGE CONSERVATIVE SYNAGOGUE. 950+ member families. One of largest Conservative synagogues on North Shore. Large building.,Ready to Send
Jewish Reconstructionist Congregation (JRC),Church/Religious,Evanston,60201,Cook,Church Office,info@jrctogether.org,(847) 328-7678,Campus Exterior Maintenance — Jewish Reconstructionist Congregation (JRC),D,"$3,000",jrctogether.org,Reconstructionist Jewish. Large Reconstructionist synagogue. 500+ households. Purpose-built facility.,Ready to Send
Skokie Valley Agudath Jacob Synagogue,Church/Religious,Skokie,60077,Cook,Office,office@svaj.org,(847) 674-3473,Campus Exterior Maintenance — Skokie Valley Agudath Jacob Synagogue,D,"$3,000",svaj.org,Jewish - Orthodox. Large Orthodox synagogue. Houses Kol Sasson Congregation in Israel Hall. Established community institution.,Ready to Send
"Ezra-Habonim, Niles Township Jewish Congregation",Church/Religious,Skokie,60077,Cook,Office,office@ehnt.org,(847) 675-4141,"Campus Exterior Maintenance — Ezra-Habonim, Niles Township Jewish Congregation",D,"$3,000",ehnt.org,Jewish - Conservative/Reconstructionist. Large Conservative/Reconstructionist synagogue. Major community institution in Skokie.,Ready to Send
Congregation Kol Emeth,Church/Religious,Skokie,60077,Cook,Office,,(847) 673-3370,Campus Exterior Maintenance — Congregation Kol Emeth,D,"$3,000",kolemethskokie.org,Jewish - Conservative. Conservative synagogue on Touhy Ave.,Phone First
Kehilat Chovevei Tzion,Church/Religious,Skokie,60077,Cook,Office,office@skokieshul.org,(847) 673-8592,Campus Exterior Maintenance — Kehilat Chovevei Tzion,D,"$3,000",skokieshul.org,Jewish - Modern Orthodox. Modern Orthodox synagogue. Active community.,Ready to Send
Young Israel of Skokie,Church/Religious,Skokie,60077,Cook,Office,office@yiskokie.org,(847) 329-0990,Campus Exterior Maintenance — Young Israel of Skokie,D,"$3,000",youngisraelskokie.org,"Jewish - Orthodox. Orthodox synagogue, part of National Council of Young Israel network.",Ready to Send
Congregation Bene Shalom,Church/Religious,Skokie,60077,Cook,Office,,(847) 677-3330,Campus Exterior Maintenance — Congregation Bene Shalom,D,"$3,000",beneshalom.com,Jewish - Reform. Reform synagogue. Unique: serves Deaf and hearing communities with ASL. Founded 1972.,Phone First
